,Country,primaryValue,netWgt,flowCode
131,Czechia,161745.0,400000.0,X
132,Czechia,1706.0,101.0,X
133,Congo,197.159,11.5,X
134,Congo,541.926,622.1,X
135,Congo,4409486982.179,9299035160.0,X
136,Congo,4409487721.264,9299035793.6,X
137,France,3242.445,,X
138,France,38917331.39,,X
139,France,3242.445,,X
140,France,38917331.39,,X
141,France,136.595,271.0,X
142,Estonia,2507.624,140.0,X
143,Estonia,11022.351,26610.0,X
144,Estonia,128443.412,545418.0,X
145,El Salvador,6588.45,5250.0,X
146,Estonia,114913.437,518668.0,X
147,Estonia,2507.624,140.0,X
148,Estonia,11022.351,26610.0,X
149,Estonia,128443.412,545418.0,X
150,Estonia,114913.437,518668.0,X
151,Argentina,1119911767.13,2615804000.0,X
152,Bulgaria,50416.589,86579.0,X
153,Dominican Rep.,37339.56,32754.0,X
154,Dominican Rep.,123589.434,117212.0,X
155,Canada,56431061272.329,120472494893.823,X
156,Canada,96907785.75,206884691.884,X
157,Canada,5905634262.417,12607710673.566,X
158,Czechia,168603.0,,X
159,Czechia,5152.0,,X
160,Dem. Rep. of the Congo,299.549,20.0,X
161,Dem. Rep. of the Congo,299.549,20.0,X
162,Dem. Rep. of the Congo,28.309,7.0,X
163,Dem. Rep. of the Congo,28.309,7.0,X
164,Dem. Rep. of the Congo,3975.213,14400.0,X
165,Dem. Rep. of the Congo,3975.213,14400.0,X
166,Dem. Rep. of the Congo,327.857,27.0,X
167,Dem. Rep. of the Congo,3975.213,14400.0,X
168,Dem. Rep. of the Congo,4303.07,14427.0,X
169,Ghana,5251687957.821,7230788606.0,X
170,Ghana,812.007,183.0,X
171,Ghana,5251688769.828,7230788789.0,X
172,Ghana,812.007,183.0,X
173,Ghana,5251687957.821,7230788606.0,X
174,Ghana,5251688769.828,7230788789.0,X
175,Greece,75232105.292,,X
176,Greece,39423213.302,,X
177,Greece,35808891.99,88473000.0,X
178,Germany,556844.078,1474484.0,X
179,Germany,556844.078,1474484.0,X
180,Germany,42033987.489,105128000.0,X
181,Germany,42033987.489,105128000.0,X
182,Azerbaijan,1328417044.1,2777970000.0,X
183,Azerbaijan,353196505.62,746181000.0,X
184,Azerbaijan,417087026.89,970054000.0,X
185,Azerbaijan,57135172.08,139301000.0,X
186,Azerbaijan,185497504.48,409711000.0,X
187,Azerbaijan,5536752343.96,11470600000.0,X
188,Azerbaijan,252475.69,608466.0,X
189,Azerbaijan,417087026.89,970054000.0,X
190,Azerbaijan,5536752343.96,11470600000.0,X
191,Azerbaijan,436046124.24,889402000.0,X
192,Azerbaijan,435717038.99,906808000.0,X
193,Azerbaijan,39958724.68,77153500.0,X
194,Azerbaijan,45156559.34,90376700.0,X
195,Azerbaijan,73756528.22,161773000.0,X
196,Azerbaijan,279716242.85,585358000.0,X
197,Azerbaijan,128810161.23,266559000.0,X
198,Azerbaijan,57135172.08,139301000.0,X
199,Colombia,12979915800.03,32647277120.0,X
200,Dominican Rep.,86159.874,84448.0,X
201,Dominican Rep.,86159.874,84448.0,X
202,Dominican Rep.,37339.56,32754.0,X
203,Dominican Rep.,90.0,10.0,X
204,Germany,178406.083,469303.0,X
205,Germany,178406.083,469303.0,X
206,Germany,42769237.65,107071787.0,X
207,Germany,42769237.65,107071787.0,X
208,Germany,556844.078,1474484.0,X
209,Germany,556844.078,1474484.0,X
210,Malawi,1609.56,4800.0,X
211,Malawi,1609.56,4800.0,X
212,Australia,6566389781.634,,X
213,Australia,6566389781.634,,X
214,Barbados,15100491.0,37600160.0,X
215,Bosnia Herzegovina,342809.16,792630.0,X
216,Denmark,1168556773.485,2245963743.706,X
217,Canada,68100946475.118,145386082443.058,X
218,Croatia,72395878.0,149196024.0,X
219,France,2192412.488,4040944.0,X
220,France,36721413.344,66869128.0,X
221,France,126.518,22.0,X
222,France,136.595,271.0,X
223,France,36721413.344,66869128.0,X
224,France,2192412.488,4040944.0,X
225,Estonia,128443.412,545418.0,X
226,Estonia,114913.437,518668.0,X
227,Estonia,2507.624,140.0,X
228,Estonia,11022.351,26610.0,X
229,Guatemala,114346859.0,,X
230,Germany,178406.083,469303.0,X
231,Germany,178406.083,469303.0,X
232,Germany,42769237.65,107071787.0,X
233,Germany,42769237.65,107071787.0,X
234,Kuwait,46539357988.0,,X
235,Kazakhstan,57406295.92,134172501.0,X
236,Latvia,3322090.17,7921003.0,X
237,Latvia,4325577.667,10212693.0,X
238,Latvia,1003487.497,2291690.0,X
239,Latvia,1003487.497,2291690.0,X
240,Latvia,35.807,10.0,X
241,Latvia,1003523.304,2291700.0,X
242,Latvia,3322054.363,7920993.0,X
243,Estonia,2507.624,140.0,X
244,Estonia,11022.351,26610.0,X
245,Estonia,128443.412,545418.0,X
246,Fiji,308754.171,290920.0,X
247,Georgia,99.0,25.3,X
248,Georgia,99.0,25.3,X
